system:index,fire_nov,fire_oct,hcho,lat,lon,u_component_of_wind_10m,v_component_of_wind_10m,.geo,wind_speed,wind_dir_rad,plume_score_nov,plume_score_oct
18,,,0.0002684991613648,28.0,77.2,0.6070387860139212,-0.5406769123342302,"{""type"":""Point"",""coordinates"":[77.2,28.0]}",0.8129130404025587,2.2984379682328853,0.0,0.0
19,,,0.0002748212117671,28.0,77.35,0.5673720379670458,-0.556908873054716,"{""type"":""Point"",""coordinates"":[77.35,28.0]}",0.7950210829619254,2.3468882191812286,0.0,0.03513129507169441
20,,,0.000294240011072,28.0,77.5,0.5532620661788515,-0.5676364799340567,"{""type"":""Point"",""coordinates"":[77.5,27.999999999999996]}",0.7926601334900215,2.369017796904911,0.0,7.310473014035151
21,,,0.000168430694953,28.15,74.5,0.5334029217561088,0.3429534587595198,"{""type"":""Point"",""coordinates"":[74.5,28.15]}",0.6341417442599653,0.9993904263022307,0.0,0.0
22,,,0.0001561922741804,28.15,74.65,0.5603858861658307,0.3290337132083046,"{""type"":""Point"",""coordinates"":[74.65000000000002,28.14999999999999]}",0.649842693150818,1.0398747731828037,0.0,0.0
23,,,0.0001801252453579,28.15,74.8,0.5834249622291988,0.338143210278617,"{""type"":""Point"",""coordinates"":[74.8,28.15]}",0.6743333872867864,1.045524595873006,0.0,0.0
24,,,0.0002000642458041,28.15,74.95,0.5460036297639211,0.3929585450225405,"{""type"":""Point"",""coordinates"":[74.95,28.15]}",0.6727082442051747,0.9469712008526837,0.0,0.0
25,,,0.0001918397755294,28.15,75.1,0.4551226211918726,0.50723331173261,"{""type"":""Point"",""coordinates"":[75.1,28.15]}",0.6814853137462258,0.7313019121853186,0.0,0.0
26,,,0.0002029809830221,28.15,75.25,0.3790307700634004,0.5681050293975407,"{""type"":""Point"",""coordinates"":[75.25,28.15]}",0.6829404432903611,0.5883608961609804,0.0,0.0
27,,,0.0002003653384205,28.15,75.4,0.3469656116432614,0.5657138076093465,"{""type"":""Point"",""coordinates"":[75.4,28.15]}",0.6636393958942215,0.550158685230575,0.0,0.0
28,,,0.0002088747356543,28.15,75.55,0.4349871231449976,0.4804005616241032,"{""type"":""Point"",""coordinates"":[75.55,28.15]}",0.6480729101811887,0.7358276524900469,0.0,0.0
29,,,0.0002062708355453,28.15,75.7,0.5234172311094071,0.4031768474313948,"{""type"":""Point"",""coordinates"":[75.7,28.15]}",0.6606944589800618,0.9144430244830504,0.0,0.0
30,,,0.0001901243260949,28.15,75.85,0.6068343182404835,0.316987746953964,"{""type"":""Point"",""coordinates"":[75.85000000000001,28.15]}",0.6846379492208584,1.089418852374509,0.0,0.0
31,,,0.0002267683496861,28.15,76.0,0.703245790137185,0.1918121013376447,"{""type"":""Point"",""coordinates"":[76.0,28.15]}",0.7289351984677627,1.3045207256038653,0.0,0.0
32,,,0.0002261107174381,28.15,76.15,0.6783899009227754,0.0962975071536169,"{""type"":""Point"",""coordinates"":[76.15,28.15]}",0.6851905337627001,1.4297882971390696,0.0,0.0
33,,,0.0002509367887099,28.15,76.3,0.6557051678498583,0.0355471816327837,"{""type"":""Point"",""coordinates"":[76.3,28.15]}",0.6566680053627137,1.5166372004354385,0.0,0.0
