system:index,date,mean,name,.geo
20240518T030555_20240519T165441_4,2024-05-18,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240518T044725_20240519T183513_0,2024-05-18,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240518T044725_20240519T183513_1,2024-05-18,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240518T044725_20240519T183513_2,2024-05-18,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240518T044725_20240519T183513_3,2024-05-18,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240518T044725_20240519T183513_4,2024-05-18,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240518T062855_20240519T201447_0,2024-05-18,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240518T062855_20240519T201447_1,2024-05-18,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240518T062855_20240519T201447_2,2024-05-18,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240518T062855_20240519T201447_3,2024-05-18,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240518T062855_20240519T201447_4,2024-05-18,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240518T081025_20240519T215451_0,2024-05-18,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240518T081025_20240519T215451_1,2024-05-18,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240518T081025_20240519T215451_2,2024-05-18,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240518T081025_20240519T215451_3,2024-05-18,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240518T081025_20240519T215451_4,2024-05-18,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240518T095155_20240519T233453_0,2024-05-18,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240518T095155_20240519T233453_1,2024-05-18,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240518T095155_20240519T233453_2,2024-05-18,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240518T095155_20240519T233453_3,2024-05-18,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240518T095155_20240519T233453_4,2024-05-18,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240518T113325_20240520T012526_0,2024-05-18,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240518T113325_20240520T012526_1,2024-05-18,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240518T113325_20240520T012526_2,2024-05-18,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240518T113325_20240520T012526_3,2024-05-18,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
