system:index,date,mean,name,.geo
20241120T131512_20241122T201852_4,2024-11-20,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20241120T145642_20241124T080650_0,2024-11-20,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20241120T145642_20241124T080650_1,2024-11-20,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20241120T145642_20241124T080650_2,2024-11-20,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20241120T145642_20241124T080650_3,2024-11-20,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20241120T145642_20241124T080650_4,2024-11-20,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20241120T163811_20241122T220950_0,2024-11-20,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20241120T163811_20241122T220950_1,2024-11-20,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20241120T163811_20241122T220950_2,2024-11-20,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20241120T163811_20241122T220950_3,2024-11-20,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20241120T163811_20241122T220950_4,2024-11-20,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20241120T181941_20241122T223125_0,2024-11-20,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20241120T181941_20241122T223125_1,2024-11-20,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20241120T181941_20241122T223125_2,2024-11-20,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20241120T181941_20241122T223125_3,2024-11-20,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20241120T181941_20241122T223125_4,2024-11-20,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20241120T200111_20241123T002618_0,2024-11-20,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20241120T200111_20241123T002618_1,2024-11-20,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20241120T200111_20241123T002618_2,2024-11-20,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20241120T200111_20241123T002618_3,2024-11-20,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20241120T200111_20241123T002618_4,2024-11-20,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20241120T214241_20241123T022938_0,2024-11-20,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20241120T214241_20241123T022938_1,2024-11-20,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
