system:index,fire_nov,fire_oct,hcho,lat,lon,u_component_of_wind_10m,v_component_of_wind_10m,.geo
72,,,0.00024172469206014524,28.45,75.85,0.1931482017040252,0.1802489909860822,"{""type"":""Point"",""coordinates"":[75.85000000000001,28.45]}"
73,,,0.00023607157309678996,28.45,76.0,0.2620789335833656,0.1179595622751447,"{""type"":""Point"",""coordinates"":[76.0,28.450000000000003]}"
74,,,0.0002373870316275631,28.45,76.15,0.3164683785703447,-0.0022695230113135,"{""type"":""Point"",""coordinates"":[76.15,28.450000000000003]}"
75,,,0.0002409316722772897,28.45,76.3,0.3413456300894419,-0.0644843531979455,"{""type"":""Point"",""coordinates"":[76.3,28.45]}"
76,,,0.00025176702707827107,28.45,76.45,0.3815620336267682,-0.1918443792396121,"{""type"":""Point"",""coordinates"":[76.45,28.45]}"
77,,,0.0002305536640535208,28.45,76.6,0.3973314834965599,-0.2529046277205148,"{""type"":""Point"",""coordinates"":[76.6,28.450000000000003]}"
78,,,0.00027598208901956936,28.45,76.75,0.4335165149635738,-0.3158498452769385,"{""type"":""Point"",""coordinates"":[76.75,28.45]}"
79,,,0.0002524214656359727,28.45,76.9,0.5052450305885738,-0.4365672118133968,"{""type"":""Point"",""coordinates"":[76.90000000000002,28.450000000000003]}"
80,,,0.00028084266883668477,28.45,77.05,0.56152826084031,-0.5440328286753762,"{""type"":""Point"",""coordinates"":[77.05,28.45]}"
81,,,0.00030514952096485616,28.45,77.2,0.5774713218212129,-0.5949663274817996,"{""type"":""Point"",""coordinates"":[77.2,28.450000000000003]}"
82,,,0.000363890795983231,28.45,77.35,0.5819051868385738,-0.590661992629369,"{""type"":""Point"",""coordinates"":[77.35,28.45]}"
83,,,0.0003617427686243904,28.45,77.5,0.5860576119687823,-0.5857222139835357,"{""type"":""Point"",""coordinates"":[77.5,28.45]}"
84,,,0.00017686686754456648,28.6,74.5,0.3982232749462127,0.0285433974530962,"{""type"":""Point"",""coordinates"":[74.5,28.6]}"
85,,,0.00020126238146197712,28.6,74.65,0.419522170888053,0.0163695964548322,"{""type"":""Point"",""coordinates"":[74.65000000000002,28.6]}"
86,,,0.00019100519375073885,28.6,74.8,0.4254866619904835,0.0268157634470198,"{""type"":""Point"",""coordinates"":[74.8,28.600000000000005]}"
87,,,0.00017763988246600202,28.6,74.95,0.4149489422639211,0.0244801514678531,"{""type"":""Point"",""coordinates"":[74.95,28.6]}"
88,,,0.0001934270942304671,28.6,75.1,0.3591126249896155,0.0495042264461517,"{""type"":""Point"",""coordinates"":[75.1,28.600000000000005]}"
89,,,0.00020385439547085103,28.6,75.25,0.2900889840390948,0.093099264966117,"{""type"":""Point"",""coordinates"":[75.25,28.600000000000005]}"
90,,,0.00019704019938773316,28.6,75.4,0.2534750110573239,0.1021663765112558,"{""type"":""Point"",""coordinates"":[75.4,28.6]}"
91,,,0.0002299947256046836,28.6,75.55,0.124432110124164,0.120606114466985,"{""type"":""Point"",""coordinates"":[75.55,28.6]}"
92,,,0.00023140974769292753,28.6,75.7,0.1238756729496849,0.1176292942629919,"{""type"":""Point"",""coordinates"":[75.7,28.6]}"
93,,,0.0002535958114657464,28.6,75.85,0.1555556317170461,0.1069484810034434,"{""type"":""Point"",""coordinates"":[75.85000000000001,28.600000000000005]}"
94,,,0.00022555447266350945,28.6,76.0,0.1912415312396155,0.0533196018801795,"{""type"":""Point"",""coordinates"":[76.0,28.600000000000005]}"
95,,,0.0002564149880797683,28.6,76.15,0.2429172853628794,-0.0660014159149594,"{""type"":""Point"",""coordinates"":[76.15,28.600000000000005]}"
96,,,0.0002357550841814324,28.6,76.3,0.2674161189132266,-0.1283688339922163,"{""type"":""Point"",""coordinates"":[76.3,28.6]}"
97,,,0.0002400688232200539,28.6,76.45,0.3402927736441294,-0.2483819226423899,"{""type"":""Point"",""coordinates"":[76.45,28.600000000000005]}"
98,,,0.00020827654570553964,28.6,76.6,0.3948344674375322,-0.286958854066001,"{""type"":""Point"",""coordinates"":[76.6,28.600000000000005]}"
99,,,0.00024255000130247529,28.6,76.75,0.4321581436528099,-0.3280192381805842,"{""type"":""Point"",""coordinates"":[76.75,28.600000000000005]}"
100,,,0.00022569974645458707,28.6,76.9,0.5037662843863171,-0.4479160209496814,"{""type"":""Point"",""coordinates"":[76.90000000000002,28.600000000000005]}"
101,,,0.00026175450031561674,28.6,77.05,0.5569882624679142,-0.5386780109670428,"{""type"":""Point"",""coordinates"":[77.05,28.6]}"
102,,,0.0003157482606370005,28.6,77.2,0.5779897815651364,-0.5499837564097511,"{""type"":""Point"",""coordinates"":[77.2,28.6]}"
103,,,0.0003735186003554419,28.6,77.35,0.6021071453889213,-0.5420719047387442,"{""type"":""Point"",""coordinates"":[77.35,28.600000000000005]}"
104,,,0.0003630432458527324,28.6,77.5,0.6062317656146157,-0.5368530597951678,"{""type"":""Point"",""coordinates"":[77.5,28.6]}"
105,,,0.00019734840012105548,28.75,74.5,0.1977115968863171,-0.1304697997040218,"{""type"":""Point"",""coordinates"":[74.5,28.75]}"
106,,,0.00019809963167632556,28.75,74.65,0.1959225886397891,-0.1158257702986399,"{""type"":""Point"",""coordinates"":[74.65000000000002,28.749999999999993]}"
107,,,0.00020887176585294073,28.75,74.8,0.2027968426545459,-0.0940029892656537,"{""type"":""Point"",""coordinates"":[74.8,28.75]}"
108,,,0.0002051698689909258,28.75,74.95,0.2099935657448238,-0.0869856417179107,"{""type"":""Point"",""coordinates"":[74.95,28.75]}"
109,,,0.00018406071805820507,28.75,75.1,0.192164518435796,-0.0678863849904802,"{""type"":""Point"",""coordinates"":[75.1,28.75]}"
110,,,0.00021468622745309017,28.75,75.25,0.1558323244253794,-0.0428785860538482,"{""type"":""Point"",""coordinates"":[75.25,28.750000000000007]}"
111,,,0.0002527099536856618,28.75,75.4,0.1296743518776364,-0.0363596922821468,"{""type"":""Point"",""coordinates"":[75.4,28.75]}"
112,,,0.00022353160315918163,28.75,75.55,0.0754313912656572,-0.0248776230547163,"{""type"":""Point"",""coordinates"":[75.55,28.749999999999993]}"
113,,,0.00024403250232928655,28.75,75.7,0.0712301380104488,-0.0293511609236399,"{""type"":""Point"",""coordinates"":[75.7,28.75]}"
114,,,0.00026982518863883444,28.75,75.85,0.0730381349722544,-0.0462975720564524,"{""type"":""Point"",""coordinates"":[75.85000000000001,28.750000000000007]}"
115,,,0.00025110036519314176,28.75,76.0,0.0855082955625322,-0.1049852483802372,"{""type"":""Point"",""coordinates"":[76.0,28.75]}"
116,,,0.00022125206187946237,28.75,76.15,0.1170004016823238,-0.2138214435842302,"{""type"":""Point"",""coordinates"":[76.15,28.75]}"
117,,,0.00022945799116286817,28.75,76.3,0.1687310874462128,-0.2621517929765912,"{""type"":""Point"",""coordinates"":[76.3,28.75]}"
118,,,0.00024038891970707633,28.75,76.45,0.3425931208663517,-0.3526103026337093,"{""type"":""Point"",""coordinates"":[76.45,28.749999999999993]}"
119,,,0.00026620782247394374,28.75,76.6,0.4081781089305877,-0.3838830212752023,"{""type"":""Point"",""coordinates"":[76.6,28.75]}"
120,,,0.0002697735428282343,28.75,76.75,0.4507233427630531,-0.402610980802112,"{""type"":""Point"",""coordinates"":[76.75,28.75]}"
121,,,0.0002997533524180799,28.75,76.9,0.515944493479199,-0.4380988551510704,"{""type"":""Point"",""coordinates"":[76.90000000000002,28.750000000000007]}"
122,,,0.00031374499927466114,28.75,77.05,0.5506945206059353,-0.434291617737876,"{""type"":""Point"",""coordinates"":[77.05,28.749999999999993]}"
123,,,0.00035711183505695947,28.75,77.2,0.5694916533099282,-0.427299701505237,"{""type"":""Point"",""coordinates"":[77.2,28.750000000000007]}"
124,,,0.00032483375349144546,28.75,77.35,0.6200677573680877,-0.4139991237057579,"{""type"":""Point"",""coordinates"":[77.35,28.75]}"
125,,,0.0003317600764384857,28.75,77.5,0.6481510500113171,-0.4127668917179108,"{""type"":""Point"",""coordinates"":[77.5,28.75]}"
126,,,0.00018003508915969422,28.9,74.5,0.1046353571944765,-0.2165022432804108,"{""type"":""Point"",""coordinates"":[74.5,28.899999999999995]}"
127,,,0.0001894324498590793,28.9,74.65,0.102743606434928,-0.2021871255503759,"{""type"":""Point"",""coordinates"":[74.65000000000002,28.899999999999995]}"
128,,,0.00019256682593970175,28.9,74.8,0.1096053143342336,-0.1803982529375288,"{""type"":""Point"",""coordinates"":[74.8,28.899999999999995]}"
129,,,0.00020817781328956512,28.9,74.95,0.114572219716178,-0.1808373669783275,"{""type"":""Point"",""coordinates"":[74.95,28.899999999999995]}"
130,,,0.00020614846711224875,28.9,75.1,0.1037554336918725,-0.1833415038055844,"{""type"":""Point"",""coordinates"":[75.1,28.899999999999995]}"
131,,,0.00024068579441982563,28.9,75.25,0.0671930015087127,-0.1608120712969038,"{""type"":""Point"",""coordinates"":[75.25,28.899999999999995]}"
132,,,0.00022400806298932875,28.9,75.4,0.042024137576421,-0.1535655028290218,"{""type"":""Point"",""coordinates"":[75.4,28.899999999999995]}"
133,,,0.00022044417249982343,28.9,75.55,0.0163829293515947,-0.115184222989612,"{""type"":""Point"",""coordinates"":[75.55,28.899999999999995]}"
134,,,0.00025042662164356127,28.9,75.7,0.0309462567170461,-0.096512551440133,"{""type"":""Point"",""coordinates"":[75.7,28.899999999999995]}"
135,,,0.0002781589875087319,28.9,75.85,0.0385675132274628,-0.1064056720998552,"{""type"":""Point"",""coordinates"":[75.85000000000001,28.899999999999995]}"
136,,,0.000272018410280322,28.9,76.0,0.0506945206059349,-0.1641283147864871,"{""type"":""Point"",""coordinates"":[76.0,28.899999999999995]}"
137,,,0.0002449594523085854,28.9,76.15,0.1092116375764211,-0.2576568928029802,"{""type"":""Point"",""coordinates"":[76.15,28.899999999999995]}"
138,,,0.00024543415454918237,28.9,76.3,0.1769806669818031,-0.2841444551944733,"{""type"":""Point"",""coordinates"":[76.3,28.899999999999995]}"
139,,,0.00027482749624531687,28.9,76.45,0.3459035999245113,-0.3644436630937788,"{""type"":""Point"",""coordinates"":[76.45,28.899999999999995]}"
140,,,0.0002839955134096095,28.9,76.6,0.415208680762185,-0.3977298637231191,"{""type"":""Point"",""coordinates"":[76.6,28.899999999999995]}"
141,,,0.00028861411173798375,28.9,76.75,0.4539517634444767,-0.4143978867265912,"{""type"":""Point"",""coordinates"":[76.75,28.899999999999995]}"
142,,,0.0002685181796908567,28.9,76.9,0.492829801638921,-0.4519850313663483,"{""type"":""Point"",""coordinates"":[76.90000000000002,28.899999999999995]}"
143,,,0.00030635137310780144,28.9,77.05,0.5274380915694766,-0.4461436278290218,"{""type"":""Point"",""coordinates"":[77.05,28.899999999999995]}"
144,,,0.00031481432629313407,28.9,77.2,0.545569262901942,-0.4391083088186052,"{""type"":""Point"",""coordinates"":[77.2,28.899999999999995]}"
145,,,0.00030320102779527575,28.9,77.35,0.5968628691302403,-0.4357683294349248,"{""type"":""Point"",""coordinates"":[77.35,28.899999999999995]}"
146,,,0.0003029949694586255,28.9,77.5,0.628518752919303,-0.449202506409751,"{""type"":""Point"",""coordinates"":[77.5,28.899999999999995]}"
147,,,0.0001837330549765278,29.05,74.5,0.0210175322161779,-0.29036190311114,"{""type"":""Point"",""coordinates"":[74.5,29.050000000000004]}"
148,,,0.0001903409824435554,29.05,74.65,0.0146247777673932,-0.28995669749048,"{""type"":""Point"",""coordinates"":[74.65000000000002,29.050000000000004]}"
149,,,0.0001839030511076606,29.05,74.8,0.0184381186962127,-0.2781816595130496,"{""type"":""Point"",""coordinates"":[74.8,29.050000000000004]}"
150,,,0.00018818303422304163,29.05,74.95,0.0205116185877058,-0.2881754881805843,"{""type"":""Point"",""coordinates"":[74.95,29.050000000000004]}"
151,,,0.00023101922478973403,29.05,75.1,0.008004836903678,-0.2992710014184316,"{""type"":""Point"",""coordinates"":[75.1,29.050000000000004]}"
152,,,0.0002168465793445563,29.05,75.25,-0.0245085908306969,-0.2872029946910011,"{""type"":""Point"",""coordinates"":[75.25,29.050000000000004]}"
153,,,0.0002180084429816171,29.05,75.4,-0.0416041990121205,-0.2709049125512441,"{""type"":""Point"",""coordinates"":[75.4,29.050000000000004]}"
154,,,0.00024157532401294912,29.05,75.55,-0.0334868623150719,-0.1954688502682579,"{""type"":""Point"",""coordinates"":[75.55,29.050000000000004]}"
155,,,0.00024744677166484337,29.05,75.7,-0.01836675869094,-0.1750956541962094,"{""type"":""Point"",""coordinates"":[75.7,29.050000000000004]}"
156,,,0.0002492947936007749,29.05,75.85,-0.000926980045106715,-0.173129983080758,"{""type"":""Point"",""coordinates"":[75.85000000000001,29.050000000000004]}"
157,,,0.00025549020728626875,29.05,76.0,0.0258365968863168,-0.2168331894609663,"{""type"":""Point"",""coordinates"":[76.0,29.050000000000004]}"
158,,,0.00024536513094714104,29.05,76.15,0.1338281333446502,-0.2802456650469038,"{""type"":""Point"",""coordinates"":[76.15,29.050000000000004]}"
159,,,0.00026043908143556197,29.05,76.3,0.2013204700416989,-0.3065121445390912,"{""type"":""Point"",""coordinates"":[76.3,29.050000000000004]}"
160,,,0.00024558265409923685,29.05,76.45,0.3462257299158308,-0.3681108587317997,"{""type"":""Point"",""coordinates"":[76.45,29.050000000000004]}"
161,,,0.0002560642777049129,29.05,76.6,0.4165378908316293,-0.4035990721649594,"{""type"":""Point"",""coordinates"":[76.6,29.050000000000004]}"
162,,,0.0002599401578815483,29.05,76.75,0.4429532282882266,-0.4233151230547164,"{""type"":""Point"",""coordinates"":[76.75,29.050000000000004]}"
163,,,0.0002556757041644935,29.05,76.9,0.4580807917647892,-0.4700012531545426,"{""type"":""Point"",""coordinates"":[76.90000000000002,29.050000000000004]}"
164,,,0.0002812491532639883,29.05,77.05,0.5007480959097548,-0.471631230910619,"{""type"":""Point"",""coordinates"":[77.05,29.050000000000004]}"
165,,,0.0003038374399566078,29.05,77.2,0.517637879980935,-0.4646399928463829,"{""type"":""Point"",""coordinates"":[77.2,29.050000000000004]}"
166,,,0.00028650971283996214,29.05,77.35,0.5703644560443032,-0.4840698566701676,"{""type"":""Point"",""coordinates"":[77.35,29.050000000000004]}"
167,,,0.00030103305790639336,29.05,77.5,0.5995870716041989,-0.5056488361623552,"{""type"":""Point"",""coordinates"":[77.5,29.050000000000004]}"
