system:index,date,dewpoint_temperature_2m,name,surface_pressure,temperature_2m,total_precipitation_sum,u_component_of_wind_10m,v_component_of_wind_10m,.geo
20241014_2,2024-10-14,,Chennai,,,,,,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20241014_3,2024-10-14,293.0904604593913,Bangalore,90923.53580729167,294.4290313720703,0.013508310913948662,-0.0889422098795573,-1.7033330202102661,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20241014_4,2024-10-14,295.2105776468913,Hyderabad,94968.45247395833,298.130121866862,0.0012952744959875417,-1.3025652567545574,0.05321808656056722,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20241015_0,2024-10-15,289.74388376871747,Delhi,98395.46256510417,298.13170051574707,0.0,2.0359986623128257,-0.6724397341410319,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20241015_1,2024-10-15,297.9751663208008,Mumbai,100819.46256510417,300.84703254699707,7.798671722412109E-4,-0.1833209991455078,-0.037145137786865234,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20241015_2,2024-10-15,,Chennai,,,,,,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20241015_3,2024-10-15,293.2672398885091,Bangalore,90883.37923177083,294.1815865834554,0.03558987379074097,-0.6461302439371744,-0.9947053591410319,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20241015_4,2024-10-15,294.9758987426758,Hyderabad,94938.5458984375,297.71828905741376,0.003911018371582031,-1.6523558298746746,-0.28478511174519855,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20241016_0,2024-10-16,290.5649770100911,Delhi,98344.71370442708,298.9334309895833,4.2925047694097884E-7,-0.18914159138997397,0.14985891183217367,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20241016_1,2024-10-16,298.8141632080078,Mumbai,100744.13037109375,301.2266438802083,0.004592117764232739,0.844305674235026,0.18615448474884033,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20241016_2,2024-10-16,,Chennai,,,,,,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20241016_3,2024-10-16,292.1477406819661,Bangalore,90853.46370442708,293.6822916666667,0.006841045715091809,0.905584971110026,-0.998008926709493,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20241016_4,2024-10-16,295.5453643798828,Hyderabad,94883.46370442708,297.8206380208333,0.005053263999698743,-1.6530494689941406,-0.5983100334803263,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20241017_0,2024-10-17,291.96988105773926,Delhi,98376.47102864583,299.10685602823895,8.523463748133508E-7,-1.0229682922363281,0.6897290945053101,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20241017_1,2024-10-17,299.0720132191976,Mumbai,100630.5126953125,301.23893610636395,3.233283757708705E-4,-0.25431187947591144,-1.58791983127594,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20241017_2,2024-10-17,,Chennai,,,,,,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20241017_3,2024-10-17,292.2517007191976,Bangalore,90846.34602864583,295.4095090230306,3.8272440428954724E-4,1.8780733744303386,0.5572421153386434,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20241017_4,2024-10-17,295.33942858378094,Hyderabad,94861.84602864583,297.5601437886556,0.0037315219640277064,-3.4802029927571616,0.41144947210947674,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20241018_0,2024-10-18,292.26719093322754,Delhi,98380.96728515625,299.3087158203125,8.52346317969932E-7,-0.6374015808105469,0.6876895427703857,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20241018_1,2024-10-18,298.06308937072754,Mumbai,100713.63395182292,301.1033935546875,0.0060998082159926525,-0.7729810078938802,1.6298282146453857,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20241018_2,2024-10-18,,Chennai,,,,,,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20241018_3,2024-10-18,292.90879249572754,Bangalore,90950.13395182292,295.5297444661458,0.002824816107647621,0.8881518046061198,0.1757673422495524,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20241018_4,2024-10-18,295.61216163635254,Hyderabad,94967.96728515625,297.7155354817708,0.0032666504382063977,-2.0058504740397134,0.9066429932912191,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20241019_0,2024-10-19,292.87974039713544,Delhi,98403.28304036458,299.9682331085205,1.7184114540214068E-6,-0.6731351216634115,-0.07302284240722656,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20241019_1,2024-10-19,297.62143961588544,Mumbai,100901.94970703125,300.6636269887288,0.0027957159376228446,-0.16906611124674478,1.1259110768636067,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20241019_2,2024-10-19,,Chennai,,,,,,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20241019_3,2024-10-19,293.16448974609375,Bangalore,91067.99137369792,294.4871946970622,0.013277952680596172,0.22493616739908853,-0.9287764231363932,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20241019_4,2024-10-19,295.09100341796875,Hyderabad,95057.03304036458,298.1326211293538,0.0026521432495201225,-1.7574450174967449,0.7574621836344401,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20241020_0,2024-10-20,293.19061915079754,Delhi,98573.86051432292,299.9064248402913,1.716613724056515E-6,-1.4333540598551433,-0.37670326232910156,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20241020_1,2024-10-20,297.48383204142254,Mumbai,100976.81884765625,300.741792678833,0.004599067568733517,-0.30941200256347656,-0.18883705139160156,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20241020_2,2024-10-20,,Chennai,,,,,,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20241020_3,2024-10-20,293.15774154663086,Bangalore,91095.36051432292,295.430269241333,0.017122808098747555,-0.8533980051676432,-0.1386254628499349,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20241020_4,2024-10-20,294.8672955830892,Hyderabad,95148.98551432292,297.728364944458,0.0023739516734622157,-1.8890832265218098,-0.09004147847493489,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20241021_0,2024-10-21,292.58518346150714,Delhi,98586.35872395833,299.3935953776042,1.272350549648138E-4,-0.9294859568277994,-0.8860619068145752,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20241021_1,2024-10-21,297.5457140604655,Mumbai,100962.31705729167,300.8139241536458,0.005354100465769562,-0.5379250844319662,-0.23550852139790854,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20241021_2,2024-10-21,,Chennai,,,,,,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20241021_3,2024-10-21,293.62326939900714,Bangalore,91112.775390625,295.2829182942708,0.01729626357554892,-0.5266132354736328,0.4298153718312581,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20241021_4,2024-10-21,294.9351183573405,Hyderabad,95130.400390625,297.6390380859375,0.0020601540803859564,-1.290000279744466,0.030604759852091473,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20241022_0,2024-10-22,292.4232940673828,Delhi,98687.03938802083,298.8693211873372,8.523463748133508E-7,-0.456271489461263,-1.4161217610041301,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20241022_1,2024-10-22,297.8248240152995,Mumbai,100971.12272135417,301.2733739217122,0.0019723355769656337,0.5111764272054037,-1.0875084797541301,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20241022_2,2024-10-22,,Chennai,,,,,,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20241022_3,2024-10-22,293.4268747965495,Bangalore,91128.53938802083,295.4280776977539,0.035518783330871884,-0.2763805389404297,0.02890590826670329,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20241022_4,2024-10-22,294.8209177652995,Hyderabad,95123.24772135417,297.1797053019206,0.004641044139816586,0.05101203918457031,-0.13141310214996338,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20241023_0,2024-10-23,290.27794075012207,Delhi,98600.19807942708,299.1120211283366,8.583068797918258E-7,1.5358263651529949,-2.180317680040995,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20241023_1,2024-10-23,298.4530709584554,Mumbai,100907.03141276042,301.6276461283366,0.0012940704822490545,0.08860143025716145,-1.1751703818639119,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20241023_2,2024-10-23,,Chennai,,,,,,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20241023_3,2024-10-23,293.0695260365804,Bangalore,91058.36474609375,295.6140556335449,0.014348173141474518,-0.21144739786783853,-0.24617461363474527,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20241023_4,2024-10-23,292.2821725209554,Hyderabad,95025.98974609375,297.3833427429199,9.089112281301936E-5,-0.3737195332845052,-1.7371821006139119,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20241024_0,2024-10-24,289.4072373708089,Delhi,98466.79296875,298.6345507303874,8.583068797918258E-7,1.7767918904622395,-2.0573353370030723,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20241024_1,2024-10-24,296.9118760426839,Mumbai,100869.00130208333,301.9297981262207,8.583068797918258E-7,-0.5089747111002604,-1.8646066586176555,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20241024_2,2024-10-24,,Chennai,,,,,,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20241024_3,2024-10-24,292.8314723968506,Bangalore,91035.75130208333,294.5430793762207,0.01543035507201651,1.2141698201497395,0.13606472810109457,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20241024_4,2024-10-24,291.1761989593506,Hyderabad,94934.12630208333,296.9468065897624,1.9603967661652177E-5,1.4355239868164062,-1.5955840349197388,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20241025_0,2024-10-25,290.130916595459,Delhi,98435.15445963542,298.15141677856445,1.7189478285217774E-6,2.1340414683024087,-1.4826579888661702,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20241025_1,2024-10-25,296.3802655537923,Mumbai,100922.27945963542,300.72547276814777,1.7189478285217774E-6,0.4466228485107422,-0.5926229953765869,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20241025_2,2024-10-25,,Chennai,,,,,,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20241025_3,2024-10-25,290.4972089131673,Bangalore,91055.61279296875,295.31906000773114,4.520366132965137E-6,1.093269983927409,-1.389314889907837,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20241025_4,2024-10-25,289.9679120381673,Hyderabad,94937.15445963542,297.04692459106445,1.7189478285217774E-6,1.891243616739909,-2.120821237564087,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20241026_0,2024-10-26,290.76382001241046,Delhi,98400.22509765625,297.77660115559894,3.5610696613730397E-9,-0.2515684763590495,-1.0657717386881511,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20241026_1,2024-10-26,295.37409019470215,Mumbai,100887.18343098958,300.81053670247394,3.5610696613730397E-9,-0.07127062479654948,-2.125382741292318,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20241026_2,2024-10-26,,Chennai,,,,,,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20241026_3,2024-10-26,289.22833824157715,Bangalore,91011.30843098958,294.5051981608073,3.2599626450746655E-4,1.097023646036784,-1.7149823506673176,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20241026_4,2024-10-26,291.31679852803546,Hyderabad,94902.60009765625,297.01463826497394,8.529272577106894E-7,0.7943706512451172,-2.4753990173339844,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20241027_0,2024-10-27,292.29975446065265,Delhi,98309.07682291667,298.26298904418945,0.0,-1.3315499623616536,0.7056336402893066,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20241027_1,2024-10-27,296.710236231486,Mumbai,100749.45182291667,300.84005610148114,0.0,0.7492605845133463,-1.2548969586690266,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20241027_2,2024-10-27,,Chennai,,,,,,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20241027_3,2024-10-27,289.97480328877765,Bangalore,90932.49348958333,294.51640701293945,2.1676719188690186E-4,0.8419526418050131,-1.3235411643981934,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20241027_4,2024-10-27,290.964874903361,Hyderabad,94804.11848958333,297.42281977335614,7.62939453125E-6,0.9775727589925131,-1.2100971539815266,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
