system:index,date,mean,name,.geo
20240603T030614_20240609T085018_4,2024-06-03,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240603T044744_20240609T095021_0,2024-06-03,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240603T044744_20240609T095021_1,2024-06-03,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240603T044744_20240609T095021_2,2024-06-03,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240603T044744_20240609T095021_3,2024-06-03,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240603T044744_20240609T095021_4,2024-06-03,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240603T062914_20240609T100203_0,2024-06-03,3.157280073203676E-4,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240603T062914_20240609T100203_1,2024-06-03,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240603T062914_20240609T100203_2,2024-06-03,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240603T062914_20240609T100203_3,2024-06-03,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240603T062914_20240609T100203_4,2024-06-03,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240603T081044_20240609T100427_0,2024-06-03,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240603T081044_20240609T100427_1,2024-06-03,1.7609314511208234E-4,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240603T081044_20240609T100427_2,2024-06-03,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240603T081044_20240609T100427_3,2024-06-03,3.12038117193908E-4,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240603T081044_20240609T100427_4,2024-06-03,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240603T095214_20240609T102010_0,2024-06-03,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240603T095214_20240609T102010_1,2024-06-03,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240603T095214_20240609T102010_2,2024-06-03,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240603T095214_20240609T102010_3,2024-06-03,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240603T095214_20240609T102010_4,2024-06-03,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240603T113344_20240609T122228_0,2024-06-03,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240603T113344_20240609T122228_1,2024-06-03,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240603T113344_20240609T122228_2,2024-06-03,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240603T113344_20240609T122228_3,2024-06-03,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240603T113344_20240609T122228_4,2024-06-03,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240603T131513_20240609T120400_0,2024-06-03,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240603T131513_20240609T120400_1,2024-06-03,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240603T131513_20240609T120400_2,2024-06-03,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240603T131513_20240609T120400_3,2024-06-03,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240603T131513_20240609T120400_4,2024-06-03,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240603T145643_20240609T120630_0,2024-06-03,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240603T145643_20240609T120630_1,2024-06-03,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240603T145643_20240609T120630_2,2024-06-03,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240603T145643_20240609T120630_3,2024-06-03,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240603T145643_20240609T120630_4,2024-06-03,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240603T163813_20240609T122425_0,2024-06-03,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240603T163813_20240609T122425_1,2024-06-03,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240603T163813_20240609T122425_2,2024-06-03,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240603T163813_20240609T122425_3,2024-06-03,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240603T163813_20240609T122425_4,2024-06-03,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240603T181943_20240609T232515_0,2024-06-03,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240603T181943_20240609T232515_1,2024-06-03,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
