system:index,fire_nov,fire_oct,hcho,lat,lon,u_component_of_wind_10m,v_component_of_wind_10m,.geo
90,,,1.9704019938773316E-4,28.6,75.4,0.2534750110573239,0.10216637651125587,"{""type"":""Point"",""coordinates"":[75.4,28.6]}"
91,,,2.299947256046836E-4,28.6,75.55,0.12443211012416404,0.12060611446698505,"{""type"":""Point"",""coordinates"":[75.55,28.6]}"
92,,,2.3140974769292753E-4,28.6,75.7,0.12387567294968492,0.11762929426299198,"{""type"":""Point"",""coordinates"":[75.7,28.6]}"
93,,,2.535958114657464E-4,28.6,75.85,0.1555556317170461,0.1069484810034434,"{""type"":""Point"",""coordinates"":[75.85000000000001,28.600000000000005]}"
94,,,2.2555447266350942E-4,28.6,76.0,0.19124153123961551,0.053319601880179514,"{""type"":""Point"",""coordinates"":[76.0,28.600000000000005]}"
95,,,2.564149880797683E-4,28.6,76.15,0.2429172853628794,-0.0660014159149594,"{""type"":""Point"",""coordinates"":[76.15,28.600000000000005]}"
96,,,2.357550841814324E-4,28.6,76.3,0.26741611891322664,-0.1283688339922163,"{""type"":""Point"",""coordinates"":[76.3,28.6]}"
97,,,2.400688232200539E-4,28.6,76.45,0.3402927736441294,-0.24838192264238998,"{""type"":""Point"",""coordinates"":[76.45,28.600000000000005]}"
98,,,2.0827654570553964E-4,28.6,76.6,0.3948344674375322,-0.286958854066001,"{""type"":""Point"",""coordinates"":[76.6,28.600000000000005]}"
99,,,2.4255000130247526E-4,28.6,76.75,0.4321581436528099,-0.3280192381805842,"{""type"":""Point"",""coordinates"":[76.75,28.600000000000005]}"
100,,,2.2569974645458707E-4,28.6,76.9,0.5037662843863171,-0.44791602094968147,"{""type"":""Point"",""coordinates"":[76.90000000000002,28.600000000000005]}"
101,,,2.6175450031561674E-4,28.6,77.05,0.5569882624679142,-0.5386780109670428,"{""type"":""Point"",""coordinates"":[77.05,28.6]}"
102,,,3.157482606370005E-4,28.6,77.2,0.5779897815651364,-0.5499837564097511,"{""type"":""Point"",""coordinates"":[77.2,28.6]}"
103,,,3.735186003554419E-4,28.6,77.35,0.6021071453889213,-0.5420719047387442,"{""type"":""Point"",""coordinates"":[77.35,28.600000000000005]}"
104,,,3.630432458527324E-4,28.6,77.5,0.6062317656146157,-0.5368530597951678,"{""type"":""Point"",""coordinates"":[77.5,28.6]}"
105,,,1.9734840012105548E-4,28.75,74.5,0.19771159688631712,-0.1304697997040218,"{""type"":""Point"",""coordinates"":[74.5,28.75]}"
106,,,1.9809963167632556E-4,28.75,74.65,0.19592258863978912,-0.11582577029863995,"{""type"":""Point"",""coordinates"":[74.65000000000002,28.749999999999993]}"
107,,,2.0887176585294073E-4,28.75,74.8,0.20279684265454598,-0.09400298926565377,"{""type"":""Point"",""coordinates"":[74.8,28.75]}"
108,,,2.051698689909258E-4,28.75,74.95,0.2099935657448238,-0.08698564171791077,"{""type"":""Point"",""coordinates"":[74.95,28.75]}"
109,,,1.8406071805820507E-4,28.75,75.1,0.19216451843579604,-0.0678863849904802,"{""type"":""Point"",""coordinates"":[75.1,28.75]}"
110,,,2.1468622745309017E-4,28.75,75.25,0.15583232442537945,-0.04287858605384828,"{""type"":""Point"",""coordinates"":[75.25,28.750000000000007]}"
111,,,2.527099536856618E-4,28.75,75.4,0.1296743518776364,-0.03635969228214686,"{""type"":""Point"",""coordinates"":[75.4,28.75]}"
112,,,2.2353160315918163E-4,28.75,75.55,0.07543139126565722,-0.024877623054716316,"{""type"":""Point"",""coordinates"":[75.55,28.749999999999993]}"
113,,,2.4403250232928658E-4,28.75,75.7,0.07123013801044882,-0.029351160923639968,"{""type"":""Point"",""coordinates"":[75.7,28.75]}"
114,,,2.6982518863883444E-4,28.75,75.85,0.07303813497225448,-0.04629757205645242,"{""type"":""Point"",""coordinates"":[75.85000000000001,28.750000000000007]}"
115,,,2.5110036519314176E-4,28.75,76.0,0.08550829556253223,-0.1049852483802372,"{""type"":""Point"",""coordinates"":[76.0,28.75]}"
116,,,2.2125206187946237E-4,28.75,76.15,0.11700040168232387,-0.2138214435842302,"{""type"":""Point"",""coordinates"":[76.15,28.75]}"
117,,,2.2945799116286817E-4,28.75,76.3,0.1687310874462128,-0.26215179297659125,"{""type"":""Point"",""coordinates"":[76.3,28.75]}"
118,,,2.4038891970707633E-4,28.75,76.45,0.34259312086635174,-0.3526103026337093,"{""type"":""Point"",""coordinates"":[76.45,28.749999999999993]}"
119,,,2.6620782247394374E-4,28.75,76.6,0.40817810893058776,-0.38388302127520235,"{""type"":""Point"",""coordinates"":[76.6,28.75]}"
120,,,2.697735428282343E-4,28.75,76.75,0.45072334276305315,-0.402610980802112,"{""type"":""Point"",""coordinates"":[76.75,28.75]}"
121,,,2.997533524180799E-4,28.75,76.9,0.515944493479199,-0.43809885515107044,"{""type"":""Point"",""coordinates"":[76.90000000000002,28.750000000000007]}"
122,,,3.1374499927466114E-4,28.75,77.05,0.5506945206059353,-0.43429161773787606,"{""type"":""Point"",""coordinates"":[77.05,28.749999999999993]}"
123,,,3.5711183505695947E-4,28.75,77.2,0.5694916533099282,-0.42729970150523705,"{""type"":""Point"",""coordinates"":[77.2,28.750000000000007]}"
124,,,3.2483375349144546E-4,28.75,77.35,0.6200677573680877,-0.4139991237057579,"{""type"":""Point"",""coordinates"":[77.35,28.75]}"
125,,,3.317600764384857E-4,28.75,77.5,0.6481510500113171,-0.4127668917179108,"{""type"":""Point"",""coordinates"":[77.5,28.75]}"
126,,,1.8003508915969422E-4,28.9,74.5,0.10463535719447656,-0.21650224328041082,"{""type"":""Point"",""coordinates"":[74.5,28.899999999999995]}"
127,,,1.8943244985907933E-4,28.9,74.65,0.10274360643492804,-0.20218712555037596,"{""type"":""Point"",""coordinates"":[74.65000000000002,28.899999999999995]}"
128,,,1.9256682593970175E-4,28.9,74.8,0.10960531433423362,-0.18039825293752884,"{""type"":""Point"",""coordinates"":[74.8,28.899999999999995]}"
129,,,2.0817781328956512E-4,28.9,74.95,0.114572219716178,-0.1808373669783275,"{""type"":""Point"",""coordinates"":[74.95,28.899999999999995]}"
130,,,2.0614846711224875E-4,28.9,75.1,0.1037554336918725,-0.1833415038055844,"{""type"":""Point"",""coordinates"":[75.1,28.899999999999995]}"
131,,,2.4068579441982563E-4,28.9,75.25,0.06719300150871274,-0.16081207129690384,"{""type"":""Point"",""coordinates"":[75.25,28.899999999999995]}"
132,,,2.2400806298932875E-4,28.9,75.4,0.04202413757642108,-0.15356550282902184,"{""type"":""Point"",""coordinates"":[75.4,28.899999999999995]}"
133,,,2.2044417249982346E-4,28.9,75.55,0.016382929351594768,-0.11518422298961208,"{""type"":""Point"",""coordinates"":[75.55,28.899999999999995]}"
134,,,2.5042662164356127E-4,28.9,75.7,0.03094625671704611,-0.096512551440133,"{""type"":""Point"",""coordinates"":[75.7,28.899999999999995]}"
135,,,2.781589875087319E-4,28.9,75.85,0.03856751322746282,-0.10640567209985523,"{""type"":""Point"",""coordinates"":[75.85000000000001,28.899999999999995]}"
136,,,2.72018410280322E-4,28.9,76.0,0.05069452060593496,-0.16412831478648712,"{""type"":""Point"",""coordinates"":[76.0,28.899999999999995]}"
137,,,2.449594523085854E-4,28.9,76.15,0.10921163757642113,-0.25765689280298026,"{""type"":""Point"",""coordinates"":[76.15,28.899999999999995]}"
